cycle number	time/s	Ewe/V	Capacity/mA.h	I/mA	
1,000000000000000E+000	6,814921719226195E+004	5,2438951E-001	6,269913575095381E+000	9,9999034E-001
1,000000000000000E+000	6,815921738988941E+004	5,2505815E-001	6,272691604417525E+000	1,0001115E+000
1,000000000000000E+000	6,816921758754249E+004	5,2555484E-001	6,275469637654668E+000	1,0000285E+000
1,000000000000000E+000	6,817921778519556E+004	5,2628076E-001	6,278247671265303E+000	1,0000987E+000
1,000000000000000E+000	6,818921798282443E+004	5,2696848E-001	6,281025704742298E+000	1,0001050E+000
1,000000000000000E+000	6,819921818044025E+004	5,2769446E-001	6,283803733257303E+000	1,0000222E+000
1,000000000000000E+000	6,820921837805700E+004	5,2842039E-001	6,286581762632909E+000	1,0001241E+000
1,000000000000000E+000	6,821921857571007E+004	5,2897435E-001	6,289359793903880E+000	1,0000222E+000
1,000000000000000E+000	6,822921877336313E+004	5,2952838E-001	6,292137824442118E+000	1,0001496E+000
1,000000000000000E+000	6,823921897100222E+004	5,3023523E-001	6,294915855414575E+000	1,0000732E+000
1,000000000000000E+000	6,824921916861803E+004	5,3090382E-001	6,297693891222145E+000	1,0000094E+000
1,000000000000000E+000	6,825921936623385E+004	5,3157246E-001	6,300471923194205E+000	1,0000859E+000
1,000000000000000E+000	6,826921956387715E+004	5,3214556E-001	6,303249951945840E+000	1,0001178E+000
1,000000000000000E+000	6,827921976153017E+004	5,3281420E-001	6,306027981112297E+000	1,0000924E+000
1,000000000000000E+000	6,828921995917999E+004	5,3352100E-001	6,308806006198975E+000	1,0000222E+000
1,000000000000000E+000	6,829922015679581E+004	5,3417051E-001	6,311584038295576E+000	1,0000285E+000
1,000000000000000E+000	6,830922035441163E+004	5,3480095E-001	6,314362069332314E+000	1,0000412E+000
1,000000000000000E+000	6,831922055204469E+004	5,3537405E-001	6,317140093617008E+000	1,0000159E+000
1,000000000000000E+000	6,832922074969765E+004	5,3594714E-001	6,319918120691685E+000	1,0001305E+000
1,000000000000000E+000	6,833922094735061E+004	5,3669220E-001	6,322696150604290E+000	1,0000285E+000
1,000000000000000E+000	6,834922114497377E+004	5,3736085E-001	6,325474181478936E+000	1,0000859E+000
1,000000000000000E+000	6,835922134258947E+004	5,3802943E-001	6,328252212415160E+000	1,0000031E+000
1,000000000000000E+000	6,836922154021170E+004	5,3862166E-001	6,331030240762076E+000	9,9998403E-001
1,000000000000000E+000	6,837922173786466E+004	5,3940493E-001	6,333808267123694E+000	1,0000349E+000
1,000000000000000E+000	6,838922193551762E+004	5,3997803E-001	6,336586292847596E+000	1,0000987E+000
1,000000000000000E+000	6,839922213315149E+004	5,4064661E-001	6,339364319058827E+000	1,0000476E+000
1,000000000000000E+000	6,840922233076720E+004	5,4137254E-001	6,342142345452483E+000	1,0000540E+000
1,000000000000000E+000	6,841922252838290E+004	5,4202211E-001	6,344920375729539E+000	1,0000603E+000
1,000000000000000E+000	6,842922272603167E+004	5,4259521E-001	6,347698401665318E+000	1,0001369E+000
1,000000000000000E+000	6,843922292368463E+004	5,4322559E-001	6,350476429364497E+000	1,0000669E+000
1,000000000000000E+000	6,844922312132921E+004	5,4393244E-001	6,353254461182503E+000	1,0001496E+000
1,000000000000000E+000	6,845922331894492E+004	5,4458195E-001	6,356032482474786E+000	1,0000603E+000
1,000000000000000E+000	6,846922351656063E+004	5,4534608E-001	6,358810511596221E+000	1,0001050E+000
1,000000000000000E+000	6,847922371419868E+004	5,4601473E-001	6,361588543914605E+000	1,0000796E+000
1,000000000000000E+000	6,848922391185164E+004	5,4675978E-001	6,364366575638962E+000	1,0000412E+000
1,000000000000000E+000	6,849922410950460E+004	5,4729468E-001	6,367144605769083E+000	1,0000859E+000
1,000000000000000E+000	6,850922430712217E+004	5,4792506E-001	6,369922633249898E+000	1,0001496E+000
1,000000000000000E+000	6,851922450473788E+004	5,4865104E-001	6,372700663385486E+000	1,0000732E+000
